frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
1,652.8450012207031,350.96426010131836,0.8285253643989563,698.7916564941406,313.9543676376343,0.8645187020301819,601.9411087036133,312.74306058883667,0.7751465439796448,747.8213500976562,339.37836170196533,0.5376273989677429,547.9725646972656,343.86964559555054,0.729186475276947,832.0758819580078,547.7979326248169,0.8171390295028687,461.75193786621094,537.6504278182983,1.0580575466156006,1209.309310913086,555.9935188293457,0.33681151270866394,174.83301162719727,547.7566909790039,0.7227675318717957,959.7245788574219,453.32679748535156,0.0010000000474974513,321.3813781738281,421.7962074279785,0.4488328695297241,843.0915832519531,1002.8170108795166,0.0010000000474974513,465.5176544189453,1119.7495651245117,0.0010000000474974513,843.0915832519531,1002.8170108795166,9.999999747378752e-06,465.5176544189453,1119.7495651245117,9.999999747378752e-06,843.0915832519531,1002.8170108795166,9.999999747378752e-06,465.5176544189453,1119.7495651245117,9.999999747378752e-06
2,650.7832336425781,357.07321643829346,0.8925965428352356,696.9200134277344,316.38603687286377,0.896889865398407,600.6286239624023,318.23596715927124,0.8960360288619995,748.7205505371094,339.5940113067627,0.6699196100234985,541.4703750610352,351.6604971885681,0.9092026948928833,848.6041259765625,556.2112283706665,0.7808172106742859,458.3010482788086,546.7342758178711,1.0745131969451904,1184.6791076660156,592.807502746582,0.535448431968689,166.8793487548828,579.8578834533691,0.8591238856315613,1027.205581665039,443.05076122283936,0.48789116740226746,310.17749786376953,396.0076904296875,0.5687567591667175,855.5297088623047,1114.4042015075684,0.0010000000474974513,468.39447021484375,1143.5529899597168,0.0010000000474974513,855.5297088623047,1114.4042015075684,9.999999747378752e-06,468.39447021484375,1143.5529899597168,9.999999747378752e-06,855.5297088623047,1114.4042015075684,9.999999747378752e-06,468.39447021484375,1143.5529899597168,9.999999747378752e-06
3,649.9330139160156,356.73577308654785,0.8515580892562866,696.6219329833984,317.5383138656616,0.8807839751243591,599.3272399902344,317.5607371330261,0.8238270282745361,747.0199584960938,344.3655323982239,0.6879149079322815,543.4579086303711,348.89020442962646,0.8152033090591431,824.9755096435547,552.2632312774658,0.8016994595527649,451.79466247558594,547.6191473007202,1.0694332122802734,1175.2835083007812,597.6922559738159,0.5188136100769043,146.77040100097656,583.4807109832764,0.7544012069702148,1024.6994018554688,378.94935607910156,0.45616036653518677,313.33518981933594,339.78743076324463,0.4958808422088623,844.1961669921875,1032.072057723999,0.0010000000474974513,473.6903381347656,1125.8173656463623,0.0010000000474974513,844.1961669921875,1032.072057723999,9.999999747378752e-06,473.6903381347656,1125.8173656463623,9.999999747378752e-06,844.1961669921875,1032.072057723999,9.999999747378752e-06,473.6903381347656,1125.8173656463623,9.999999747378752e-06
4,649.4388580322266,352.7955222129822,0.8607528805732727,694.0213775634766,312.8495764732361,0.8719854354858398,598.4695816040039,313.7937569618225,0.8317539095878601,747.2782897949219,336.6351914405823,0.7011571526527405,541.7266464233398,342.69861459732056,0.8460971713066101,835.4727935791016,548.9305114746094,0.8118574023246765,448.98193359375,548.1992769241333,1.0069293975830078,1187.0368957519531,602.8399515151978,0.7023701071739197,165.50214767456055,598.1530809402466,0.6815313100814819,1017.6767730712891,330.91150760650635,0.5738882422447205,291.65855407714844,294.53858613967896,0.5202637314796448,847.1250152587891,1074.6924018859863,0.0010000000474974513,454.61498260498047,1112.5999546051025,0.0010000000474974513,847.1250152587891,1074.6924018859863,9.999999747378752e-06,454.61498260498047,1112.5999546051025,9.999999747378752e-06,847.1250152587891,1074.6924018859863,9.999999747378752e-06,454.61498260498047,1112.5999546051025,9.999999747378752e-06
5,648.1435394287109,357.26178646087646,0.8302013278007507,693.8261413574219,317.56311893463135,0.8660095930099487,598.8737487792969,318.5865640640259,0.7817052006721497,745.4633331298828,345.1903438568115,0.5821323990821838,542.6023864746094,343.8541316986084,0.781919538974762,837.1644592285156,560.0447273254395,0.8210891485214233,442.64305114746094,547.9693365097046,0.9723603129386902,1172.71484375,600.8771753311157,0.6572291851043701,200.0653839111328,590.9295701980591,0.5674719214439392,1036.0042572021484,306.9998073577881,0.48785319924354553,273.8302230834961,283.6737084388733,0.0010000000474974513,834.1793060302734,1101.708641052246,0.0010000000474974513,458.62945556640625,1089.9177360534668,0.0010000000474974513,834.1793060302734,1101.708641052246,9.999999747378752e-06,458.62945556640625,1089.9177360534668,9.999999747378752e-06,834.1793060302734,1101.708641052246,9.999999747378752e-06,458.62945556640625,1089.9177360534668,9.999999747378752e-06
6,649.6884918212891,359.86520290374756,0.8251505494117737,694.3450164794922,318.2839250564575,0.8705719113349915,598.8309860229492,321.03872537612915,0.7814209461212158,743.4564971923828,346.5805649757385,0.5647017955780029,541.3906097412109,345.0598382949829,0.8313173055648804,836.4481353759766,559.2391633987427,0.873347282409668,445.1372528076172,549.6565961837769,0.9811665415763855,1166.1143493652344,583.858494758606,0.4797382354736328,180.98482131958008,587.4678897857666,0.604792058467865,1018.9448547363281,287.1405816078186,0.3500949442386627,277.87220001220703,278.7414050102234,0.3028527796268463,831.7999267578125,1114.7952461242676,0.0010000000474974513,445.9589385986328,1110.5595874786377,0.0010000000474974513,831.7999267578125,1114.7952461242676,9.999999747378752e-06,445.9589385986328,1110.5595874786377,9.999999747378752e-06,831.7999267578125,1114.7952461242676,9.999999747378752e-06,445.9589385986328,1110.5595874786377,9.999999747378752e-06
7,649.9872589111328,359.13182258605957,0.9001032114028931,696.4855194091797,316.60964727401733,0.949216902256012,600.0119400024414,317.0832824707031,0.932714581489563,744.9611663818359,344.6126389503479,0.6913461685180664,544.1852951049805,347.25860595703125,0.8307963013648987,835.9445953369141,554.563364982605,0.7379435300827026,449.84363555908203,550.27672290802,0.7815908193588257,1177.533187866211,570.014820098877,0.6316085457801819,149.84173774719238,577.0254278182983,0.5496394634246826,1012.8832244873047,279.034903049469,0.43544459342956543,286.72210693359375,274.52518701553345,0.307108998298645,848.9700317382812,1107.3591327667236,0.0010000000474974513,461.9340133666992,1142.39333152771,0.0010000000474974513,848.9700317382812,1107.3591327667236,9.999999747378752e-06,461.9340133666992,1142.39333152771,9.999999747378752e-06,848.9700317382812,1107.3591327667236,9.999999747378752e-06,461.9340133666992,1142.39333152771,9.999999747378752e-06
8,648.4379577636719,359.57563161849976,0.8266457915306091,695.5438995361328,316.67783975601196,0.8650022149085999,598.9491653442383,317.31043338775635,0.7941446900367737,746.5308380126953,343.9344906806946,0.5743764638900757,543.0397415161133,342.4425172805786,0.7627213001251221,834.9652099609375,553.4524154663086,0.8278070092201233,445.9945297241211,545.965404510498,0.9580321311950684,1169.8573303222656,562.9676914215088,0.6105852127075195,166.6639518737793,551.0030651092529,0.7545627951622009,1024.559555053711,323.1310200691223,0.46303775906562805,309.3233299255371,269.88232612609863,0.4204360842704773,875.6619262695312,1113.6522388458252,0.0010000000474974513,456.9541549682617,1162.6540088653564,0.0010000000474974513,875.6619262695312,1113.6522388458252,9.999999747378752e-06,456.9541549682617,1162.6540088653564,9.999999747378752e-06,875.6619262695312,1113.6522388458252,9.999999747378752e-06,456.9541549682617,1162.6540088653564,9.999999747378752e-06
9,649.2372894287109,362.3553228378296,0.6483937501907349,696.8138885498047,320.3661561012268,0.4865278899669647,599.527473449707,319.6486973762512,0.7774255871772766,751.3132476806641,342.0438551902771,0.42986205220222473,543.257942199707,348.25188159942627,0.8209337592124939,804.3723297119141,532.474365234375,0.6962332725524902,466.9944763183594,524.990701675415,0.8535680770874023,1185.7291412353516,549.3314695358276,0.5373493432998657,121.72209739685059,550.5620241165161,1.0023560523986816,1005.2888488769531,347.48584270477295,0.35165902972221375,329.74708557128906,318.57162952423096,0.6334057450294495,868.9897918701172,1105.4094886779785,0.0010000000474974513,451.7867660522461,1106.7723941802979,0.0010000000474974513,868.9897918701172,1105.4094886779785,9.999999747378752e-06,451.7867660522461,1106.7723941802979,9.999999747378752e-06,868.9897918701172,1105.4094886779785,9.999999747378752e-06,451.7867660522461,1106.7723941802979,9.999999747378752e-06
10,651.1687469482422,363.0986166000366,0.7043676376342773,697.928466796875,321.67367935180664,0.5684922933578491,602.2601318359375,320.2449631690979,0.7959619164466858,749.9629211425781,345.37970781326294,0.44667622447013855,545.302619934082,346.41770124435425,0.786695122718811,812.7067565917969,532.3347187042236,0.7044672966003418,482.2986602783203,529.6880006790161,0.7739364504814148,1195.3456115722656,536.7295074462891,0.44794222712516785,124.24464225769043,523.4454488754272,1.0528311729431152,970.7633972167969,399.6616744995117,0.0010000000474974513,339.864501953125,362.851767539978,0.6812366247177124,863.7261199951172,1146.381025314331,0.0010000000474974513,478.56529235839844,1080.963535308838,0.0010000000474974513,863.7261199951172,1146.381025314331,9.999999747378752e-06,478.56529235839844,1080.963535308838,9.999999747378752e-06,863.7261199951172,1146.381025314331,9.999999747378752e-06,478.56529235839844,1080.963535308838,9.999999747378752e-06
11,651.8496704101562,364.4562864303589,0.9111790060997009,700.6727600097656,322.3397469520569,0.9652008414268494,603.4494400024414,320.71038007736206,0.9269102215766907,748.6658477783203,347.6507878303528,0.6356106996536255,544.422721862793,350.45968294143677,0.8606043457984924,812.4716949462891,543.6126565933228,0.7418062686920166,487.90515899658203,561.3619709014893,0.8079850673675537,1005.5312347412109,587.145938873291,0.0010000000474974513,106.14382743835449,511.8635845184326,0.6059208512306213,943.0309295654297,477.315616607666,0.0010000000474974513,387.7341079711914,446.7719078063965,0.0010000000474974513,771.9636535644531,984.9586486816406,0.0010000000474974513,440.88890075683594,1038.2892894744873,0.0010000000474974513,771.9636535644531,984.9586486816406,9.999999747378752e-06,440.88890075683594,1038.2892894744873,9.999999747378752e-06,771.9636535644531,984.9586486816406,9.999999747378752e-06,440.88890075683594,1038.2892894744873,9.999999747378752e-06
12,652.1230316162109,366.7590808868408,0.7018939256668091,699.5790100097656,325.0818657875061,0.5586229562759399,602.7704620361328,323.7965512275696,0.7902243733406067,751.2508392333984,348.8952898979187,0.4293139576911926,546.4901351928711,351.0889506340027,0.814850389957428,794.8158264160156,529.285626411438,0.5212240219116211,467.0317840576172,519.0040969848633,0.586157500743866,1019.6701049804688,513.1176137924194,0.0010000000474974513,122.03161239624023,496.0266637802124,0.9593746662139893,980.8644866943359,471.4348840713501,0.0010000000474974513,332.7265930175781,504.9985885620117,0.5235763788223267,780.5660247802734,884.2923831939697,0.0010000000474974513,531.2775802612305,1058.6053276062012,0.0010000000474974513,780.5660247802734,884.2923831939697,9.999999747378752e-06,531.2775802612305,1058.6053276062012,9.999999747378752e-06,780.5660247802734,884.2923831939697,9.999999747378752e-06,531.2775802612305,1058.6053276062012,9.999999747378752e-06
13,655.2887725830078,367.3129892349243,0.9231588840484619,702.2580718994141,327.6096439361572,0.9586306810379028,606.4665603637695,324.1451954841614,0.902098536491394,751.6525268554688,350.3308939933777,0.6518738269805908,548.3201599121094,346.4377427101135,0.8331915140151978,794.5157623291016,527.3225927352905,0.7341037392616272,504.35428619384766,545.2163600921631,0.7754066586494446,1135.0726318359375,504.6389579772949,0.428205668926239,117.07191467285156,516.8860101699829,0.0010000000474974513,977.6415252685547,524.0117168426514,0.0010000000474974513,333.52516174316406,515.81711769104,0.0010000000474974513,756.8461608886719,946.4725112915039,0.0010000000474974513,497.87803649902344,1008.6759853363037,0.0010000000474974513,756.8461608886719,946.4725112915039,9.999999747378752e-06,497.87803649902344,1008.6759853363037,9.999999747378752e-06,756.8461608886719,946.4725112915039,9.999999747378752e-06,497.87803649902344,1008.6759853363037,9.999999747378752e-06
14,656.5547943115234,366.3543891906738,0.7864751219749451,703.1806945800781,326.5448498725891,0.8370379209518433,607.0096969604492,324.8081302642822,0.691537082195282,752.8343963623047,349.5965909957886,0.5188228487968445,549.1902542114258,348.7509226799011,0.5731760263442993,792.4821472167969,530.2453851699829,0.6872550845146179,476.86370849609375,528.4662008285522,0.733512282371521,1080.1886749267578,542.5653076171875,0.0010000000474974513,123.99394035339355,504.8669672012329,1.0372202396392822,971.2200164794922,518.4449529647827,0.0010000000474974513,325.8202362060547,512.9812288284302,0.7622566223144531,766.2484741210938,924.4508457183838,0.0010000000474974513,485.4871368408203,1030.788288116455,0.0010000000474974513,766.2484741210938,924.4508457183838,9.999999747378752e-06,485.4871368408203,1030.788288116455,9.999999747378752e-06,766.2484741210938,924.4508457183838,9.999999747378752e-06,485.4871368408203,1030.788288116455,9.999999747378752e-06
